"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" ";"яидз́евзоС";"";"Созве́здия";" ";"в не́бе не спя́т, как всегда́";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:0"
" яидз́евзоС ";"в";"Созве́здия";"в";" ";"не́бе не спя́т, как всегда́, Тихо́нько";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:1"
" в яидз́евзоС ";"еб́ен";"Созве́здия в";"не́бе";" ";"не спя́т, как всегда́, Тихо́нько мерца́ют";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:2"
" еб́ен в яидз́евзоС ";"ен";"Созве́здия в не́бе";"не";" ";"спя́т, как всегда́, Тихо́нько мерца́ют в";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:3"
" ен еб́ен в яидз́евзоС ";"т́япс";"Созве́здия в не́бе не";"спя́т";", ";"как всегда́, Тихо́нько мерца́ют в разлу́ке.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:4"
" ,т́япс ен еб́ен в яидз́евзоС ";"как";"Созве́здия в не́бе не спя́т,";"как";" ";"всегда́, Тихо́нько мерца́ют в разлу́ке.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:5"
" как ,т́япс ен еб́ен в яидз́евзоС";"́адгесв";"Созве́здия в не́бе не спя́т, как";"всегда́";", ";"Тихо́нько мерца́ют в разлу́ке.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:6"
" ,́адгесв как ,т́япс ен еб́ен в";"окьн́охиТ";"в не́бе не спя́т, как всегда́,";"Тихо́нько";" ";"мерца́ют в разлу́ке.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:7"
" окьн́охиТ ,́адгесв как ,т́япс ен еб́ен";"тю́ацрем";"не́бе не спя́т, как всегда́, Тихо́нько";"мерца́ют";" ";"в разлу́ке.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:8"
" тю́ацрем окьн́охиТ ,́адгесв как ,т́япс ен";"в";"не спя́т, как всегда́, Тихо́нько мерца́ют";"в";" ";"разлу́ке.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Созве́здия в не́бе не спя́т, как всегда́, Тихо́нько мерца́ют в разлу́ке.";"b9f3660e7ab687235656c5f383c7ebce:0:9"
