"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" ";"71";"";"17";" ";"МАРТА ДЕНЬ СВЯТОГО ПАТРИКА";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"17 МАРТА ДЕНЬ СВЯТОГО ПАТРИКА";"40a9b96dbde3af62a37e7563a76e653c:0:0"
" 71 ";"АТРАМ";"17";"МАРТА";" ";"ДЕНЬ СВЯТОГО ПАТРИКА";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"17 МАРТА ДЕНЬ СВЯТОГО ПАТРИКА";"40a9b96dbde3af62a37e7563a76e653c:0:1"
" АТРАМ 71 ";"ЬНЕД";"17 МАРТА";"ДЕНЬ";" ";"СВЯТОГО ПАТРИКА";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"17 МАРТА ДЕНЬ СВЯТОГО ПАТРИКА";"40a9b96dbde3af62a37e7563a76e653c:0:2"
" ЬНЕД АТРАМ 71 ";"ОГОТЯВС";"17 МАРТА ДЕНЬ";"СВЯТОГО";" ";"ПАТРИКА";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"17 МАРТА ДЕНЬ СВЯТОГО ПАТРИКА";"40a9b96dbde3af62a37e7563a76e653c:0:3"
" ОГОТЯВС ЬНЕД АТРАМ 71 ";"АКИРТАП";"17 МАРТА ДЕНЬ СВЯТОГО";"ПАТРИКА";" ";"";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"17 МАРТА ДЕНЬ СВЯТОГО ПАТРИКА";"40a9b96dbde3af62a37e7563a76e653c:0:4"
"";"от̀Э";"";"Э̀то";" ";"что̀ за па̀ника?";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"Э̀то что̀ за па̀ника?";"40a9b96dbde3af62a37e7563a76e653c:1:0"
" от̀Э";"̀отч";"Э̀то";"что̀";" ";"за па̀ника?";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"Э̀то что̀ за па̀ника?";"40a9b96dbde3af62a37e7563a76e653c:1:1"
" ̀отч от̀Э";"аз";"Э̀то что̀";"за";" ";"па̀ника?";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"Э̀то что̀ за па̀ника?";"40a9b96dbde3af62a37e7563a76e653c:1:2"
" аз ̀отч от̀Э";"акин̀ап";"Э̀то что̀ за";"па̀ника";"? ";"";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"Э̀то что̀ за па̀ника?";"40a9b96dbde3af62a37e7563a76e653c:1:3"
"";"А";"";"А";" ";"ну̀, дава̀й без па̀ники!";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"А ну̀, дава̀й без па̀ники!";"40a9b96dbde3af62a37e7563a76e653c:2:0"
